threshold,recallSensitivity,specificity,precision,f1,accuracy,balancedAccuracy,negativePredictiveValue,tn,fp,fn,tp,auroc,auprc,brier,ece
0.0,1.0,0.0,0.5470308686903284,0.7072009741517683,0.5470308686903284,0.5,,0,74060,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.001,1.0,6.751282743721307e-05,0.5470475980769937,0.7072149541578204,0.5470614499171249,0.5000337564137186,1.0,5,74055,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.002,1.0,6.751282743721307e-05,0.5470475980769937,0.7072149541578204,0.5470614499171249,0.5000337564137186,1.0,5,74055,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.003,1.0,0.0002025384823116392,0.5470810599202368,0.7072429158281375,0.5471226123707179,0.5001012692411558,1.0,15,74045,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.004,1.0,0.0002025384823116392,0.5470810599202368,0.7072429158281375,0.5471226123707179,0.5001012692411558,1.0,15,74045,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.005,1.0,0.0002025384823116392,0.5470810599202368,0.7072429158281375,0.5471226123707179,0.5001012692411558,1.0,15,74045,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.006,1.0,0.0002025384823116392,0.5470810599202368,0.7072429158281375,0.5471226123707179,0.5001012692411558,1.0,15,74045,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.007,1.0,0.0002025384823116392,0.5470810599202368,0.7072429158281375,0.5471226123707179,0.5001012692411558,1.0,15,74045,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.008,1.0,0.0002025384823116392,0.5470810599202368,0.7072429158281375,0.5471226123707179,0.5001012692411558,1.0,15,74045,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.009,1.0,0.0002025384823116392,0.5470810599202368,0.7072429158281375,0.5471226123707179,0.5001012692411558,1.0,15,74045,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.01,1.0,0.0002025384823116392,0.5470810599202368,0.7072429158281375,0.5471226123707179,0.5001012692411558,1.0,15,74045,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.011,1.0,0.0002025384823116392,0.5470810599202368,0.7072429158281375,0.5471226123707179,0.5001012692411558,1.0,15,74045,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.012,1.0,0.0002025384823116392,0.5470810599202368,0.7072429158281375,0.5471226123707179,0.5001012692411558,1.0,15,74045,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.013,1.0,0.0002025384823116392,0.5470810599202368,0.7072429158281375,0.5471226123707179,0.5001012692411558,1.0,15,74045,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.014,1.0,0.0002025384823116392,0.5470810599202368,0.7072429158281375,0.5471226123707179,0.5001012692411558,1.0,15,74045,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.015,1.0,0.0006211180124223603,0.5471848176540045,0.7073296110592664,0.5473122159768561,0.5003105590062111,1.0,46,74014,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.016,1.0,0.0006211180124223603,0.5471848176540045,0.7073296110592664,0.5473122159768561,0.5003105590062111,1.0,46,74014,0,89439,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.017,0.9999776383904113,0.001053200108020524,0.5472864232433193,0.7074089014387521,0.5474957033376351,0.5005154192492159,0.975,78,73982,2,89437,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.018,0.9999776383904113,0.001053200108020524,0.5472864232433193,0.7074089014387521,0.5474957033376351,0.5005154192492159,0.975,78,73982,2,89437,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.019,0.9999776383904113,0.001053200108020524,0.5472864232433193,0.7074089014387521,0.5474957033376351,0.5005154192492159,0.975,78,73982,2,89437,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.02,0.9999776383904113,0.001053200108020524,0.5472864232433193,0.7074089014387521,0.5474957033376351,0.5005154192492159,0.975,78,73982,2,89437,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.021,0.9999776383904113,0.001053200108020524,0.5472864232433193,0.7074089014387521,0.5474957033376351,0.5005154192492159,0.975,78,73982,2,89437,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.022,0.9999776383904113,0.001053200108020524,0.5472864232433193,0.7074089014387521,0.5474957033376351,0.5005154192492159,0.975,78,73982,2,89437,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.023,0.999966457585617,0.002133405347015933,0.5475517026044154,0.7076276718214078,0.5479788867210197,0.5010499314663165,0.9813664596273292,158,73902,3,89436,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.024,0.999966457585617,0.002133405347015933,0.5475517026044154,0.7076276718214078,0.5479788867210197,0.5010499314663165,0.9813664596273292,158,73902,3,89436,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.025,0.999966457585617,0.002133405347015933,0.5475517026044154,0.7076276718214078,0.5479788867210197,0.5010499314663165,0.9813664596273292,158,73902,3,89436,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.026,0.999966457585617,0.002133405347015933,0.5475517026044154,0.7076276718214078,0.5479788867210197,0.5010499314663165,0.9813664596273292,158,73902,3,89436,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.027,0.999966457585617,0.002133405347015933,0.5475517026044154,0.7076276718214078,0.5479788867210197,0.5010499314663165,0.9813664596273292,158,73902,3,89436,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.028,0.999966457585617,0.002133405347015933,0.5475517026044154,0.7076276718214078,0.5479788867210197,0.5010499314663165,0.9813664596273292,158,73902,3,89436,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.029,0.999966457585617,0.002133405347015933,0.5475517026044154,0.7076276718214078,0.5479788867210197,0.5010499314663165,0.9813664596273292,158,73902,3,89436,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.03,0.9997316606849361,0.008655144477450716,0.5491175061719297,0.7088749093244223,0.5508045920770157,0.5041934025811934,0.9639097744360903,641,73419,24,89415,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.031,0.9997316606849361,0.008655144477450716,0.5491175061719297,0.7088749093244223,0.5508045920770157,0.5041934025811934,0.9639097744360903,641,73419,24,89415,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.032,0.9997316606849361,0.008655144477450716,0.5491175061719297,0.7088749093244223,0.5508045920770157,0.5041934025811934,0.9639097744360903,641,73419,24,89415,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.033,0.9997316606849361,0.008655144477450716,0.5491175061719297,0.7088749093244223,0.5508045920770157,0.5041934025811934,0.9639097744360903,641,73419,24,89415,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.034,0.9997316606849361,0.008655144477450716,0.5491175061719297,0.7088749093244223,0.5508045920770157,0.5041934025811934,0.9639097744360903,641,73419,24,89415,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.035,0.9997316606849361,0.008668647042938158,0.5491208784460152,0.7088777192871186,0.5508107083223751,0.5042001538639371,0.963963963963964,642,73418,24,89415,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.036,0.9996981182705531,0.010167431812044289,0.5494871526988243,0.7091744065228943,0.5514712628211793,0.5049327750412987,0.9653846153846154,753,73307,27,89412,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.037,0.9996981182705531,0.010167431812044289,0.5494871526988243,0.7091744065228943,0.5514712628211793,0.5049327750412987,0.9653846153846154,753,73307,27,89412,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.038,0.9996981182705531,0.010167431812044289,0.5494871526988243,0.7091744065228943,0.5514712628211793,0.5049327750412987,0.9653846153846154,753,73307,27,89412,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.039,0.9996981182705531,0.010167431812044289,0.5494871526988243,0.7091744065228943,0.5514712628211793,0.5049327750412987,0.9653846153846154,753,73307,27,89412,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.04,0.9996981182705531,0.010167431812044289,0.5494871526988243,0.7091744065228943,0.5514712628211793,0.5049327750412987,0.9653846153846154,753,73307,27,89412,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.041,0.9996981182705531,0.010167431812044289,0.5494871526988243,0.7091744065228943,0.5514712628211793,0.5049327750412987,0.9653846153846154,753,73307,27,89412,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.042,0.9996981182705531,0.010167431812044289,0.5494871526988243,0.7091744065228943,0.5514712628211793,0.5049327750412987,0.9653846153846154,753,73307,27,89412,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
